t,r,u,y
5.86,-0.056108,1.2326,-0.19412
5.87,-0.044035,1.2545,-0.17836
5.88,-0.032915,1.2738,-0.1638
5.89,-0.021795,1.29,-0.14856
5.9,-0.010358,1.309,-0.13408
5.91,0.0012787,1.3221,-0.11732
5.92,0.012232,1.3358,-0.10286
5.93,0.023297,1.3516,-0.088681
5.94,0.033861,1.3598,-0.073225
5.95,0.045497,1.381,-0.059921
5.96,0.056489,1.394,-0.04537
5.97,0.067053,1.383,-0.026911
5.98,0.077395,1.378,-0.010231
5.99,0.088643,1.3803,0.0057828
6,0.098857,1.3771,0.021851
6.01,0.10886,1.3773,0.036084
6.02,0.11859,1.3722,0.051097
6.03,0.12899,1.37,0.066275
6.04,0.13844,1.3683,0.079619
6.05,0.1479,1.36,0.093853
6.06,0.15701,1.348,0.10875
6.07,0.16591,1.335,0.12321
6.08,0.17508,1.3235,0.13761
6.09,0.18342,1.3135,0.1504
6.1,0.19176,1.3076,0.16168
6.11,0.19972,1.291,0.17512
6.12,0.20794,1.2775,0.18748
6.13,0.21517,1.2632,0.19927
6.14,0.2224,1.245,0.21128
6.15,0.22914,1.2299,0.22196
6.16,0.23597,1.2089,0.23391
6.17,0.24225,1.1891,0.24447
6.18,0.24787,1.1745,0.25326
6.19,0.25342,1.1499,0.26366
6.2,0.25906,1.1287,0.27311
6.21,0.26421,1.113,0.28067
6.22,0.26866,1.0818,0.29123
6.23,0.27288,1.0585,0.29891
6.24,0.27673,1.0304,0.30767
6.25,0.2805,1,0.31609
6.26,0.28345,0.97112,0.32315
6.27,0.28623,0.938,0.33093
6.28,0.28912,0.906,0.3376
6.29,0.2909,0.873,0.34394
6.3,0.29268,0.837,0.35028
6.31,0.29379,0.798,0.35695
6.32,0.2949,0.758,0.36296
6.33,0.29551,0.71175,0.36924
6.34,0.29579,0.67157,0.37389
6.35,0.29579,0.632,0.37836
6.36,0.29579,0.59129,0.38189
6.37,0.29579,0.551,0.38564
6.38,0.29579,0.5145,0.3882
6.39,0.29579,0.4765,0.3912
6.4,0.29579,0.437,0.39454
6.41,0.29579,0.39838,0.39671
6.42,0.29579,0.36763,0.39732
6.43,0.29579,0.32888,0.4001
6.44,0.29579,0.2935,0.40193
6.45,0.29579,0.264,0.40154
6.46,0.29579,0.234,0.4021
6.47,0.29579,0.20325,0.40232
6.48,0.29579,0.175,0.40254
6.49,0.29579,0.14113,0.40327
6.5,0.29579,0.11238,0.40327
6.51,0.29579,0.086375,0.40304
6.52,0.29579,0.057125,0.40299
6.53,0.29579,0.041572,0.39988
6.54,0.29579,0.0125,0.39988
6.55,0.29579,-0.0099994,0.39899
6.56,0.29579,-0.033,0.39787
6.57,0.29579,-0.058715,0.39771
6.58,0.29618,-0.078625,0.39615
6.59,0.29679,-0.10825,0.39748
6.6,0.2979,-0.123,0.39615
6.61,0.2991,-0.13014,0.39269
6.62,0.30068,-0.125,0.38787
6.63,0.30235,-0.132,0.38575
6.64,0.30424,-0.148,0.38653
6.65,0.30647,-0.1565,0.38598
6.66,0.30941,-0.162,0.3852
6.67,0.31219,-0.15613,0.38208
